User_ID,Age,Country,Streaming Platform,Top Genre,Minutes Streamed Per Day,Number of Songs Liked,Most Played Artist,Subscription Type,Listening Time (Morning/Afternoon/Night),Discover Weekly Engagement (%),Repeat Song Rate (%)
U1000,34,Japan,Tidal,Reggae,295,138,Adele,Free,Afternoon,47.42,16.74
U1001,24,Germany,Deezer,Country,86,388,Ed Sheeran,Premium,Night,12.06,69.25
U1002,49,Germany,Deezer,Pop,363,368,Post Malone,Premium,Afternoon,47.19,67.38
U1003,55,Australia,YouTube,Reggae,348,349,Dua Lipa,Premium,Morning,31.27,76.51
U1004,13,Germany,Amazon Music,Reggae,30,328,Adele,Free,Night,30.68,43.41
U1005,25,South Korea,Spotify,EDM,536,243,The Weeknd,Premium,Afternoon,70.26,27.79
U1006,49,Australia,Tidal,Country,547,70,Billie Eilish,Free,Night,11.92,37.75
U1007,32,UK,Amazon Music,Classical,98,448,Dua Lipa,Premium,Afternoon,29.48,18.8
U1008,25,Germany,Tidal,Metal,526,27,BTS,Premium,Morning,85.7,42.38
U1009,37,Brazil,Spotify,Reggae,514,299,Billie Eilish,Premium,Morning,53.39,46.89
U1010,40,South Korea,Deezer,Reggae,266,462,Taylor Swift,Premium,Morning,87.77,8.73
U1011,43,Brazil,Spotify,Rock,351,108,Drake,Free,Afternoon,48.15,23.7
U1012,46,Canada,Deezer,Rock,389,328,Ed Sheeran,Premium,Afternoon,20.24,43.38
U1013,57,Germany,Tidal,Rock,506,432,Drake,Free,Afternoon,41.11,37.83
U1014,23,India,Apple Music,Hip-Hop,502,215,Dua Lipa,Premium,Morning,68.46,48.6
U1015,33,UK,Spotify,Hip-Hop,193,11,Drake,Premium,Morning,39.73,52.44
U1016,19,India,Spotify,Country,542,499,Adele,Free,Morning,21.43,20.6
U1017,16,USA,Apple Music,R&B,13,423,Adele,Premium,Morning,12.46,17.93
U1018,17,Germany,Apple Music,Rock,383,468,Billie Eilish,Premium,Afternoon,25.09,8.58
U1019,39,India,Deezer,R&B,147,461,Bad Bunny,Premium,Afternoon,48.81,37.66
U1020,33,Australia,Apple Music,EDM,58,417,Post Malone,Premium,Afternoon,87.41,44.49
U1021,29,USA,Deezer,Metal,450,12,Ed Sheeran,Premium,Morning,60.39,14.44
U1022,40,Brazil,Tidal,Jazz,445,221,Dua Lipa,Premium,Morning,80.53,78.27
U1023,42,Brazil,Amazon Music,Rock,547,248,Post Malone,Free,Night,26.03,8.42
U1024,35,South Korea,Deezer,Pop,218,461,Post Malone,Free,Night,42.17,77.18
U1025,53,Brazil,Apple Music,Reggae,87,347,Ed Sheeran,Premium,Afternoon,60.4,10.49
U1026,23,Japan,Tidal,Hip-Hop,537,494,Taylor Swift,Free,Morning,88.09,62.45
U1027,27,France,Amazon Music,Jazz,203,437,Taylor Swift,Free,Morning,22.83,21.55
U1028,40,Germany,Spotify,Pop,267,475,Drake,Premium,Afternoon,69.0,10.66
U1029,42,Canada,Amazon Music,Reggae,151,195,Taylor Swift,Premium,Morning,63.01,47.74
U1030,51,Canada,Amazon Music,EDM,60,195,Drake,Premium,Afternoon,22.74,30.0
U1031,42,UK,Amazon Music,R&B,201,52,Adele,Free,Afternoon,48.74,17.29
U1032,47,USA,Amazon Music,Jazz,564,400,Drake,Free,Night,28.7,69.19
U1033,49,South Korea,Apple Music,Hip-Hop,140,408,Dua Lipa,Free,Night,16.28,78.98
U1034,58,Brazil,Deezer,R&B,187,439,Drake,Premium,Morning,78.07,59.58
U1035,25,France,Apple Music,EDM,332,196,BTS,Free,Night,72.27,15.08
U1036,38,UK,Deezer,Metal,99,80,The Weeknd,Premium,Night,54.04,20.32
U1037,23,Japan,Apple Music,Reggae,265,95,Adele,Premium,Morning,85.5,63.65
U1038,26,Japan,YouTube,EDM,370,4,BTS,Free,Afternoon,77.3,71.5
U1039,53,USA,Apple Music,Reggae,478,300,Taylor Swift,Free,Afternoon,88.44,75.12
U1040,33,South Korea,Amazon Music,Reggae,193,454,Dua Lipa,Free,Afternoon,13.37,69.69
U1041,55,Brazil,Spotify,Country,581,434,Bad Bunny,Premium,Night,44.52,65.62
U1042,23,Brazil,Spotify,Pop,93,264,Adele,Premium,Night,38.82,12.88
U1043,50,France,Amazon Music,Hip-Hop,463,463,Drake,Premium,Morning,66.21,59.49
U1044,32,Brazil,Tidal,R&B,84,117,Ed Sheeran,Premium,Morning,26.08,8.72
U1045,42,India,YouTube,Hip-Hop,404,464,Ed Sheeran,Premium,Morning,27.4,45.91
U1046,53,USA,Amazon Music,Pop,149,110,The Weeknd,Free,Afternoon,47.11,50.35
U1047,24,USA,YouTube,Rock,585,306,Drake,Premium,Afternoon,77.42,10.46
U1048,40,Brazil,Deezer,EDM,485,342,Drake,Premium,Night,44.37,67.99
U1049,35,Australia,Apple Music,EDM,249,178,Dua Lipa,Free,Afternoon,34.56,19.68
U1050,56,France,Tidal,Rock,225,214,The Weeknd,Premium,Morning,22.61,39.19
U1051,54,Japan,Tidal,Metal,414,393,Taylor Swift,Free,Night,30.62,6.12
U1052,14,South Korea,Deezer,Country,189,374,The Weeknd,Free,Night,37.27,8.55
U1053,35,India,Deezer,Hip-Hop,88,315,Adele,Premium,Afternoon,85.45,79.32
U1054,48,India,YouTube,Pop,43,490,Post Malone,Premium,Night,21.9,77.31
U1055,20,Canada,Spotify,Reggae,259,475,The Weeknd,Free,Morning,85.11,78.75
U1056,48,Brazil,YouTube,Classical,202,195,Billie Eilish,Premium,Afternoon,20.36,11.51
U1057,30,Japan,Tidal,Jazz,429,8,Dua Lipa,Free,Morning,47.98,50.57
U1058,17,UK,Amazon Music,Country,282,225,Adele,Free,Night,59.83,67.68
U1059,30,UK,Amazon Music,Classical,67,191,BTS,Free,Night,85.0,53.98
U1060,18,France,YouTube,Country,587,320,Billie Eilish,Premium,Morning,11.06,32.11
U1061,60,USA,Apple Music,Rock,262,301,BTS,Free,Morning,35.53,55.35
U1062,35,Australia,Spotify,Jazz,372,283,Ed Sheeran,Free,Morning,84.71,56.46
U1063,52,Canada,Apple Music,R&B,229,79,Bad Bunny,Premium,Afternoon,55.78,11.71
U1064,26,South Korea,Tidal,Hip-Hop,316,451,Billie Eilish,Premium,Morning,32.01,23.09
U1065,59,UK,Deezer,R&B,334,454,BTS,Premium,Night,61.36,60.91
U1066,53,USA,YouTube,Rock,580,151,Adele,Premium,Morning,36.39,30.59
